time,price,SMA,Lower,Upper,distance,position
2018-02-15 03:21:00,1.24597,1.2370136641221374,1.2214046369103215,1.2526226913339533,0.008956335877862598,0.0
2018-02-15 05:42:00,1.2492,1.237121145038168,1.2213714063558454,1.2528708837204907,0.01207885496183203,0.0
2018-02-15 08:03:00,1.248,1.2372034351145038,1.2213393815494817,1.2530674886795259,0.010796564885496185,0.0
2018-02-15 10:24:00,1.24836,1.2372829770992366,1.2212999919742462,1.253265962224227,0.01107702290076329,0.0
2018-02-15 12:45:00,1.24911,1.237366106870229,1.2212507447635008,1.2534814689769573,0.011743893129770866,0.0
2018-02-15 15:06:00,1.24631,1.2374258015267174,1.2212358973688384,1.2536157056845965,0.00888419847328259,0.0
2018-02-15 17:27:00,1.24992,1.2375169465648856,1.221180689599163,1.2538532035306083,0.012403053435114275,0.0
2018-02-15 19:48:00,1.25034,1.2376276335877863,1.2211413730457794,1.2541138941297931,0.012712366412213738,0.0
2018-02-15 22:09:00,1.25038,1.2377203053435115,1.2210843679809227,1.2543562427061004,0.01265969465648853,0.0
2018-02-16 00:30:00,1.25326,1.2378030534351145,1.2209662655278344,1.2546398413423947,0.015456946564885499,0.0
2018-02-16 02:51:00,1.25508,1.2378938167938933,1.2208135439699093,1.2549740896178774,0.017186183206106653,-1.0
2018-02-16 05:12:00,1.25367,1.2379847328244276,1.220695991565222,1.255273474083633,0.015685267175572504,-1.0
2018-02-16 07:33:00,1.25298,1.2380903816793893,1.2206051528531714,1.2555756105056073,0.014889618320610642,-1.0
2018-02-16 09:54:00,1.2475,1.2381501526717555,1.2205897885639572,1.255710516779554,0.00934984732824451,-1.0
2018-02-16 12:15:00,1.24356,1.2381751908396947,1.220593245843384,1.2557571358360056,0.0053848091603052595,-1.0
2018-02-16 14:36:00,1.2441,1.2381930534351147,1.2205916842762818,1.2557944225939475,0.005906946564885329,-1.0
2018-02-16 16:57:00,1.24068,1.2381764122137404,1.2205887114292597,1.255764112998221,0.0025035877862595868,-1.0
2018-02-16 19:18:00,1.24107,1.2381564122137405,1.2205880355418786,1.2557247888856025,0.002913587786259386,-1.0
2018-02-16 21:39:00,1.24097,1.2381341984732825,1.2205876471217028,1.2556807498248623,0.002835801526717363,-1.0
2018-02-18 20:39:00,1.24158,1.2381116030534352,1.220590696891971,1.2556325092148992,0.0034683969465647557,-1.0
2018-02-18 23:00:00,1.24276,1.2380887022900764,1.2206002789724886,1.2555771256076642,0.004671297709923694,-1.0
2018-02-19 01:21:00,1.24225,1.238054427480916,1.22061682140663,1.255492033555202,0.00419557251908409,-1.0
2018-02-19 03:42:00,1.24124,1.2380513740458015,1.2206161587947202,1.2554865892968827,0.003188625954198443,-1.0
2018-02-19 06:03:00,1.24062,1.2380435114503818,1.2206139094118198,1.2554731134889439,0.0025764885496182277,-1.0
2018-02-19 08:24:00,1.24177,1.2380490839694658,1.220615154106581,1.2554830138323505,0.0037209160305342603,-1.0
2018-02-19 10:45:00,1.24068,1.238040610687023,1.2206129315960808,1.2554682897779652,0.002639389312977025,-1.0
2018-02-19 13:06:00,1.23876,1.238016641221374,1.2206017251371746,1.2554315573055734,0.0007433587786260798,-1.0
2018-02-19 15:27:00,1.24085,1.2380057251908396,1.2205997903885417,1.2554116599931375,0.0028442748091603853,-1.0
2018-02-19 17:48:00,1.2408,1.2380096183206106,1.2206013961422002,1.255417840499021,0.0027903816793892755,-1.0
2018-02-19 20:09:00,1.24096,1.237981679389313,1.2206044999859536,1.2553588587926725,0.0029783206106870352,-1.0
2018-02-19 22:30:00,1.24086,1.2379545038167938,1.2206067991645917,1.255302208468996,0.0029054961832062354,-1.0
2018-02-20 00:51:00,1.23845,1.237915038167939,1.2205957856749097,1.2552342906609681,0.0005349618320611427,-1.0
2018-02-20 03:12:00,1.23872,1.2378363358778626,1.2206273215662835,1.2550453501894416,0.000883664122137473,-1.0
2018-02-20 05:33:00,1.23641,1.2377336641221375,1.220653792350664,1.254813535893611,-0.001323664122137469,0.0
2018-02-20 07:54:00,1.23426,1.237604961832061,1.2206782709611208,1.2545316527030013,-0.003344961832061122,0.0
2018-02-20 10:15:00,1.23484,1.2374878625954198,1.2207001517041118,1.2542755734867277,-0.0026478625954198254,0.0
2018-02-20 12:36:00,1.23512,1.2373761068702291,1.2207233173007197,1.2540288964397386,-0.0022561068702291465,0.0
2018-02-20 14:57:00,1.2353,1.2372674045801524,1.2207493002769618,1.253785508883343,-0.001967404580152321,0.0
2018-02-20 17:18:00,1.23374,1.2371393129770991,1.220775925667272,1.2535027002869261,-0.003399312977099056,0.0
2018-02-20 19:39:00,1.23372,1.2370258778625953,1.220776540669913,1.2532752150552777,-0.0033058778625953966,0.0
2018-02-20 22:00:00,1.23392,1.236911679389313,1.2207883575035503,1.2530350012750755,-0.0029916793893129956,0.0
2018-02-21 00:21:00,1.23356,1.236821145038168,1.2207573132046101,1.252884976871726,-0.0032611450381681006,0.0
2018-02-21 02:42:00,1.23181,1.236717786259542,1.2207009794539798,1.2527345930651042,-0.004907786259541913,0.0
2018-02-21 05:03:00,1.23294,1.2366171755725193,1.2206730112144908,1.2525613399305477,-0.0036771755725193422,0.0
2018-02-21 07:24:00,1.23205,1.236512824427481,1.2206299808001198,1.2523956680548423,-0.004462824427480916,0.0
2018-02-21 09:45:00,1.23168,1.236406106870229,1.2205832442346372,1.2522289695058209,-0.004726106870228897,0.0
2018-02-21 12:06:00,1.23332,1.2363312977099237,1.2205437549290408,1.2521188404908066,-0.0030112977099236993,0.0
2018-02-21 14:27:00,1.23104,1.236224580152672,1.220484847135768,1.2519643131695757,-0.00518458015267198,0.0
2018-02-21 16:48:00,1.23466,1.2361380152671755,1.2204905221929854,1.2517855083413656,-0.0014780152671753921,0.0
2018-02-21 19:09:00,1.22871,1.2360056488549618,1.2204028246334409,1.2516084730764827,-0.0072956488549618115,0.0
2018-02-21 21:30:00,1.22816,1.235882824427481,1.2202882764107847,1.2514773724441774,-0.007722824427481179,0.0
2018-02-21 23:51:00,1.22814,1.2357389312977098,1.2202097604838622,1.2512681021115575,-0.007598931297709832,0.0
2018-02-22 02:12:00,1.22768,1.2356141984732822,1.2200906437744563,1.2511377531721082,-0.007934198473282139,0.0
2018-02-22 04:33:00,1.22624,1.2354969465648857,1.2199236763894283,1.2510702167403431,-0.009256946564885737,0.0
2018-02-22 06:54:00,1.22844,1.2353941221374045,1.2198136537193962,1.2509745905554128,-0.006954122137404539,0.0
2018-02-22 09:15:00,1.22813,1.2352888549618322,1.219699769896415,1.2508779400272494,-0.007158854961832217,0.0
2018-02-22 11:36:00,1.23079,1.2352341221374046,1.2196324966066634,1.2508357476681458,-0.004444122137404527,0.0
2018-02-22 13:57:00,1.23196,1.2351870992366414,1.2195834011565145,1.2507907973167682,-0.0032270992366414397,0.0
2018-02-22 16:18:00,1.2331,1.235153893129771,1.219551091493274,1.250756694766268,-0.0020538931297708896,0.0
2018-02-22 18:39:00,1.2326,1.2351179389312978,1.2195134569878467,1.250722420874749,-0.002517938931297925,0.0
2018-02-22 21:00:00,1.23333,1.235071145038168,1.219482389990184,1.2506599000861518,-0.0017411450381679128,0.0
2018-02-22 23:21:00,1.23212,1.2350078625954197,1.219439173108031,1.2505765520828085,-0.0028878625954196213,0.0
2018-02-23 01:42:00,1.23042,1.2349675572519083,1.2193787648100756,1.250556349693741,-0.004547557251908252,0.0
2018-02-23 04:03:00,1.23029,1.234940534351145,1.2193315335329806,1.2505495351693094,-0.00465053435114493,0.0
2018-02-23 06:24:00,1.23128,1.2348819083969467,1.2192760686389954,1.250487748154898,-0.0036019083969467403,0.0
2018-02-23 08:45:00,1.22916,1.2348064122137403,1.2191861657725225,1.2504266586549582,-0.005646412213740293,0.0
